DateTime,Open,High,Low,Close,Volume
2017-08-17,4261.4800000000,4485.3900000000,4200.7400000000,4285.0800000000,795.1503770000
2017-08-18,4285.0800000000,4371.5200000000,3938.7700000000,4108.3700000000,1199.8882640000
2017-08-19,4108.3700000000,4184.6900000000,3850.0000000000,4139.9800000000,381.3097630000
2017-08-20,4139.9800000000,4211.0800000000,4032.6200000000,4086.2900000000,467.0830220000
2017-08-21,4069.1300000000,4119.6200000000,3911.7900000000,4016.0000000000,691.7430600000
2017-08-22,4016.0000000000,4104.8200000000,3400.0000000000,4040.0000000000,966.6848580000
2017-08-23,4040.0000000000,4265.8000000000,4013.8900000000,4114.0100000000,1001.1365650000
2017-08-24,4147.0000000000,4371.6800000000,4085.0100000000,4316.0100000000,787.4187530000
2017-08-25,4316.0100000000,4453.9100000000,4247.4800000000,4280.6800000000,573.6127400000
2017-08-26,4280.6800000000,4367.0000000000,4212.4100000000,4337.4400000000,228.1080680000
2017-08-27,4332.5100000000,4400.0000000000,4285.5400000000,4310.0100000000,350.6925850000
2017-08-28,4310.0100000000,4399.8200000000,4124.5400000000,4386.6900000000,603.8416160000
2017-08-29,4386.6900000000,4625.8500000000,4313.5500000000,4587.4800000000,603.5450280000
2017-08-30,4587.4800000000,4647.5100000000,4416.0100000000,4555.1400000000,808.4687710000
2017-08-31,4555.1400000000,4745.4200000000,4555.1400000000,4724.8900000000,556.9568020000
2017-09-01,4724.8900000000,4885.5500000000,4654.8800000000,4834.9100000000,560.6663660000
2017-09-02,4834.9100000000,4939.1900000000,4286.8700000000,4472.1400000000,929.1485950000
2017-09-03,4508.5000000000,4714.7600000000,4298.3300000000,4509.0800000000,691.2161980000
2017-09-04,4509.0800000000,4527.4900000000,3972.5100000000,4100.1100000000,1394.6446140000
2017-09-05,4106.9700000000,4484.9900000000,3603.0000000000,4366.4700000000,1228.9381570000
2017-09-06,4366.4900000000,4662.8700000000,4335.2600000000,4619.7700000000,807.3637260000
2017-09-07,4619.7700000000,4788.5900000000,4438.1900000000,4691.6100000000,500.4299750000
2017-09-08,4691.6100000000,4735.3900000000,4028.9300000000,4282.8000000000,1132.2550460000
2017-09-09,4282.8000000000,4426.6200000000,4150.0600000000,4258.8100000000,658.7829520000
2017-09-10,4258.8100000000,4283.0000000000,3801.0000000000,4130.3700000000,660.3732750000
2017-09-11,4153.6200000000,4334.4300000000,4098.9100000000,4208.4700000000,699.9890650000
2017-09-12,4208.6000000000,4394.5900000000,4040.8000000000,4163.7200000000,879.6303190000
2017-09-13,4159.7200000000,4165.3800000000,3760.0000000000,3944.6900000000,913.4625450000
2017-09-14,3944.0000000000,3993.0000000000,3165.1300000000,3189.0200000000,1665.0215430000
2017-09-15,3188.0100000000,3856.0000000000,2817.0000000000,3700.0000000000,1968.8664920000
2017-09-16,3674.0100000000,3950.0000000000,3470.6600000000,3714.9500000000,1297.5639530000
2017-09-17,3685.2300000000,3748.2100000000,3499.0200000000,3699.9900000000,682.1712100000
2017-09-18,3699.9900000000,4123.2000000000,3690.0000000000,4035.0100000000,1030.0064550000
2017-09-19,4060.0000000000,4089.9700000000,3830.9100000000,3910.0400000000,902.3321290000
2017-09-20,3910.0400000000,4046.0800000000,3820.0000000000,3900.0000000000,720.9350760000
2017-09-21,3900.0000000000,3910.0000000000,3567.0000000000,3609.9900000000,1001.6540840000
2017-09-22,3609.9900000000,3750.0000000000,3505.5500000000,3595.8700000000,838.9664250000
2017-09-23,3595.8800000000,3817.1900000000,3542.9100000000,3780.0000000000,752.7927910000
2017-09-24,3779.5400000000,3789.9900000000,3622.7600000000,3660.0200000000,661.6363900000
2017-09-25,3660.0200000000,3979.8700000000,3653.6900000000,3920.7500000000,727.9947130000
2017-09-26,3928.0000000000,3976.9900000000,3850.0500000000,3882.3500000000,526.7279870000
2017-09-27,3882.3500000000,4249.9400000000,3872.8100000000,4193.0000000000,628.1709660000
2017-09-28,4193.0000000000,4300.0000000000,4101.0000000000,4174.5000000000,849.7853250000
2017-09-29,4174.5000000000,4263.8600000000,3952.0100000000,4174.6900000000,1602.3095650000
2017-09-30,4175.0000000000,4380.0000000000,4138.1000000000,4378.5100000000,720.3531830000
2017-10-01,4378.4900000000,4406.5200000000,4240.0400000000,4378.4800000000,726.9636850000
2017-10-02,4400.0000000000,4561.6300000000,4360.0000000000,4380.0000000000,655.7569740000
2017-10-03,4380.0000000000,4467.3300000000,4180.8000000000,4310.0000000000,1082.3235630000
2017-10-04,4310.0000000000,4373.0000000000,4142.0000000000,4208.5900000000,868.4651010000
2017-10-05,4208.5900000000,4355.0000000000,4110.0000000000,4292.4300000000,779.1386380000
2017-10-06,4318.9900000000,4417.0000000000,4292.0000000000,4369.0000000000,506.5291760000
2017-10-07,4369.0000000000,4479.5000000000,4312.5600000000,4423.0000000000,297.5975000000
2017-10-08,4425.0000000000,4658.0000000000,4425.0000000000,4640.0000000000,518.4620040000
2017-10-09,4640.0000000000,4889.9800000000,4550.0000000000,4786.9500000000,646.4631450000
2017-10-10,4786.9500000000,4960.0000000000,4680.5900000000,4783.0600000000,1043.2217730000
2017-10-11,4783.0600000000,4881.6100000000,4710.0000000000,4821.4300000000,753.4293960000
2017-10-12,4821.4300000000,5439.9900000000,4810.1600000000,5430.0000000000,1276.7014820000
2017-10-13,5430.0000000000,5846.1700000000,5379.8400000000,5649.9800000000,1879.8276200000
2017-10-14,5650.0000000000,5900.0000000000,5580.0100000000,5869.9900000000,970.7590460000
2017-10-15,5855.0300000000,5922.3000000000,5400.0100000000,5709.9900000000,1343.5233750000
2017-10-16,5710.0000000000,5788.9100000000,5585.1900000000,5760.0200000000,1528.9964620000
