DateTime,Open,High,Low,Close,Volume
2017-08-17 04:00:00,4261.4800000000,4313.6200000000,4261.3200000000,4308.8300000000,47.1810090000
2017-08-17 05:00:00,4308.8300000000,4328.6900000000,4291.3700000000,4315.3200000000,23.2349160000
2017-08-17 06:00:00,4315.3200000000,4345.4500000000,4309.3700000000,4324.3500000000,7.2296910000
2017-08-17 07:00:00,4324.3500000000,4349.9900000000,4287.4100000000,4349.9900000000,4.4432490000
2017-08-17 08:00:00,4333.3200000000,4377.8500000000,4333.3200000000,4360.6900000000,0.9728070000
2017-08-17 09:00:00,4360.6900000000,4445.7800000000,4360.0000000000,4444.0000000000,10.7636230000
2017-08-17 10:00:00,4441.1000000000,4470.0000000000,4399.8100000000,4460.0000000000,24.8653990000
2017-08-17 11:00:00,4460.0000000000,4485.3900000000,4427.3000000000,4427.3000000000,27.0180530000
2017-08-17 12:00:00,4427.3000000000,4449.5600000000,4411.0000000000,4411.0000000000,23.0323980000
2017-08-17 13:00:00,4411.0000000000,4459.0000000000,4411.0000000000,4459.0000000000,31.3124360000
2017-08-17 14:00:00,4459.0000000000,4485.3900000000,4435.9300000000,4470.8200000000,51.7358970000
2017-08-17 15:00:00,4470.8200000000,4470.8200000000,4333.4200000000,4352.3400000000,68.4812700000
2017-08-17 16:00:00,4352.3400000000,4354.3500000000,4255.3000000000,4354.1800000000,67.4587910000
2017-08-17 17:00:00,4354.1800000000,4354.8400000000,4235.4500000000,4289.2400000000,59.6649120000
2017-08-17 18:00:00,4289.2400000000,4302.4500000000,4218.6800000000,4256.9700000000,51.2751630000
2017-08-17 19:00:00,4241.9100000000,4335.3000000000,4200.7400000000,4325.2300000000,46.7108500000
2017-08-17 20:00:00,4307.5600000000,4354.8400000000,4258.5600000000,4346.7400000000,48.9754720000
2017-08-17 21:00:00,4346.7400000000,4369.6900000000,4309.2300000000,4333.5500000000,61.7730360000
2017-08-17 22:00:00,4333.5500000000,4359.1300000000,4310.0000000000,4336.8000000000,57.3761420000
2017-08-17 23:00:00,4313.3900000000,4337.3800000000,4280.8200000000,4285.0800000000,81.6452630000
2017-08-18 00:00:00,4285.0800000000,4340.6200000000,4228.7600000000,4286.5300000000,82.4354740000
2017-08-18 01:00:00,4269.3600000000,4269.3600000000,4134.6100000000,4243.5900000000,75.6848830000
2017-08-18 02:00:00,4251.9500000000,4298.6400000000,4234.0000000000,4267.5900000000,54.0713370000
2017-08-18 03:00:00,4244.7700000000,4308.7000000000,4234.0000000000,4292.3900000000,64.0013490000
2017-08-18 04:00:00,4292.3900000000,4292.3900000000,4234.4300000000,4287.9200000000,50.7975150000
2017-08-18 05:00:00,4287.9200000000,4340.6200000000,4250.0400000000,4313.5600000000,64.1692860000
2017-08-18 06:00:00,4313.5600000000,4316.9800000000,4247.7500000000,4279.4600000000,64.2354240000
2017-08-18 07:00:00,4279.4600000000,4304.6700000000,4270.4800000000,4300.2500000000,69.1868040000
2017-08-18 08:00:00,4285.0000000000,4320.7100000000,4259.8500000000,4282.7300000000,74.8298490000
2017-08-18 09:00:00,4265.3300000000,4327.2500000000,4265.3300000000,4304.1500000000,45.6531560000
2017-08-18 10:00:00,4304.1500000000,4371.5200000000,4296.0400000000,4356.3100000000,51.5636750000
2017-08-18 11:00:00,4356.3100000000,4357.3700000000,4302.7200000000,4340.3100000000,24.0934490000
2017-08-18 12:00:00,4340.3100000000,4340.3100000000,4287.7900000000,4331.7100000000,15.1189570000
2017-08-18 13:00:00,4302.9700000000,4318.1600000000,4221.0500000000,4293.0900000000,46.5337670000
2017-08-18 14:00:00,4293.0900000000,4293.0900000000,4193.7000000000,4259.4000000000,74.3689430000
2017-08-18 15:00:00,4259.4000000000,4259.4000000000,4200.0000000000,4236.8900000000,39.9477170000
2017-08-18 16:00:00,4236.8900000000,4283.7900000000,4234.5400000000,4250.3400000000,45.0388240000
2017-08-18 17:00:00,4250.3400000000,4250.3400000000,4066.5300000000,4193.3500000000,62.6914660000
2017-08-18 18:00:00,4171.1700000000,4297.7500000000,4117.4100000000,4117.4100000000,25.3186540000
